FSA,CURRENT_HOUSE_PRICE,Local Area
V5K,1510521.38314785,Hastings-Sunrise
V5L,1751253.58742138,Grandview-Woodland
V5M,1706901.51162791,Renfrew-Collingwood
V5N,1611242.50398724,Kensington-Cedar Cottage
V5P,1660944.60093897,Victoria-Fraserview
V5R,1483971.79665738,Renfrew-Collingwood
V5S,1574279.42025862,Killarney
V5T,1863873.01587302,Mount Pleasant
V5V,1796047.64353042,Riley Park
V5W,2028929.95337995,Sunset
V5X,1812520.4954955,Oakridge
V5Y,3158564.29906542,Mount Pleasant
V5Z,3353003.64025696,South Cambie
V6A,2603754.28191489,Strathcona
V6B,5310854.36206897,Downtown
V6C,53939500,Downtown
V6E,5016072.28181818,West End
V6G,6135498.50746269,West End
V6H,3391041.49184149,Fairview
V6J,3053847.43902439,Kitsilano
V6K,2611929.25764192,Kitsilano
V6L,3212736.00746269,Dunbar-Southlands
V6M,4264211.63227017,Arbutus-Ridge
V6N,3911992.85022693,Kerrisdale
V6P,3327425.349087,Marpole
V6R,3669575.38148525,West Point Grey
V6S,3496920.77205882,Dunbar-Southlands
V6T,13597653.3333333,West End
V6Z,3124298.24561403,Downtown
