FSA,CURRENT_HOUSE_PRICE,Local Area
V5K,1548275.61509021,Hastings-Sunrise
V5L,1398690.03394625,Grandview-Woodland
V5M,1720803.16831683,Renfrew-Collingwood
V5N,1407190.5363716,Kensington-Cedar Cottage
V5P,1624406.11775529,Victoria-Fraserview
V5R,1376665.82321188,Renfrew-Collingwood
V5S,1539936.46707935,Killarney
V5T,1309981.15443335,Mount Pleasant
V5V,1672776.35101636,Riley Park
V5W,1880751.33802817,Sunset
V5X,1804462.36426513,Oakridge
V5Y,2440237.57225434,Mount Pleasant
V5Z,1795547.5188781,South Cambie
V6A,1801206.16986855,Strathcona
V6B,1342575.41648303,Downtown
V6C,16922630.6122449,Downtown
V6E,1735049.95656109,West End
V6G,2462244.73684211,West End
V6H,2502090.75704225,Fairview
V6J,2145501.87431091,Kitsilano
V6K,2036222.66012489,Kitsilano
V6L,3715470.70815451,Dunbar-Southlands
V6M,3651338.44842285,Arbutus-Ridge
V6N,4117308.43202669,Kerrisdale
V6P,2919452.25833685,Marpole
V6R,3378261.2412178,West Point Grey
V6S,3426313.33333333,Dunbar-Southlands
V6T,14994904.3478261,West End
V6Z,1236657.61274805,Downtown
