FSA,CURRENT_HOUSE_PRICE,Local Area
V5K,1519080.32554848,Hastings-Sunrise
V5L,1552726.37109375,Grandview-Woodland
V5M,1695692.0754717,Renfrew-Collingwood
V5N,1520180.13116883,Kensington-Cedar Cottage
V5P,1643534.6122449,Victoria-Fraserview
V5R,1516538.79842785,Renfrew-Collingwood
V5S,1588960.63910422,Killarney
V5T,1750756.45879733,Mount Pleasant
V5V,1807465.71637427,Riley Park
V5W,1970376.7,Sunset
V5X,1771341.46515679,Oakridge
V5Y,3032940.7751938,Mount Pleasant
V5Z,1980397.71328056,South Cambie
V6A,2283473.3916501,Strathcona
V6B,5169530.66122449,Downtown
V6C,128002800,Downtown
V6E,3277206.82939633,West End
V6G,3061668.64754098,West End
V6H,2463085.15228426,Fairview
V6J,2518552.47863248,Kitsilano
V6K,2363083.44327177,Kitsilano
V6L,3306803.2967033,Dunbar-Southlands
V6M,4001682.16833096,Arbutus-Ridge
V6N,3950309.7450495,Kerrisdale
V6P,2978774.81279782,Marpole
V6R,3414354.59098497,West Point Grey
V6S,3483669.35483871,Dunbar-Southlands
V6T,13898206.25,West End
V6Z,1543993.92307692,Downtown
