FSA,CURRENT_HOUSE_PRICE,Local Area
V5K,1439952.08888889,Hastings-Sunrise
V5L,2025125.38071066,Grandview-Woodland
V5M,1716188.85754584,Renfrew-Collingwood
V5N,1698324.62908012,Kensington-Cedar Cottage
V5P,1631568.77828054,Victoria-Fraserview
V5R,1476075.04604052,Renfrew-Collingwood
V5S,1886156.25390625,Killarney
V5T,2606261.17647059,Mount Pleasant
V5V,1825825.69721116,Riley Park
V5W,2089976.13793103,Sunset
V5X,1812262.2754491,Oakridge
V5Y,3151406.43863179,Mount Pleasant
V5Z,3376870.21276596,South Cambie
V6A,2756250.18461538,Strathcona
V6B,3759804.64220183,Downtown
V6C,57429000,Downtown
V6E,11831157.8125,West End
V6G,7370869.10569106,West End
V6H,5232239.55555556,Fairview
V6J,4925133.57142857,Kitsilano
V6K,3013562.65328874,Kitsilano
V6L,3717885.74938575,Dunbar-Southlands
V6M,4395251.44628099,Arbutus-Ridge
V6N,3886566.12603648,Kerrisdale
V6P,3626491.48099607,Marpole
V6R,3683061.24031008,West Point Grey
V6S,3500220.12320329,Dunbar-Southlands
V6T,13986468.9655172,West End
V6Z,3138875.23809524,Downtown
